2026-06-01 00:52:45 | INFO     | commands.dispatcher | CommandDispatcher ready — 34 handler(s) registered
2026-06-01 00:52:45 | INFO     | bot.runtime | === Wakie Music Bot MVP starting ===
2026-06-01 00:52:45 | INFO     | wakie.device_session | Connecting uiautomator2 → emulator-5554
2026-06-01 00:52:47 | INFO     | wakie.device_session | Device ready: 900x1600 serial=emulator-5554
2026-06-01 00:52:47 | INFO     | wakie.reader | MessageReader using shared device session
2026-06-01 00:52:47 | INFO     | player.audio_player | AudioPlayer shut down
2026-06-01 00:52:47 | INFO     | wakie.reader | MessageReader disconnected
2026-06-01 00:52:47 | INFO     | wakie.device_session | Device session closed
2026-06-01 00:52:47 | INFO     | bot.runtime | Bot stopped
2026-06-01 01:03:08 | INFO     | commands.dispatcher | CommandDispatcher ready — 34 handler(s) registered
2026-06-01 01:03:08 | INFO     | bot.runtime | === Wakie Music Bot MVP starting ===
2026-06-01 01:03:08 | INFO     | wakie.device_session | Connecting uiautomator2 → emulator-5554
2026-06-01 01:03:09 | INFO     | wakie.device_session | Device ready: 900x1600 serial=emulator-5554
2026-06-01 01:03:09 | INFO     | wakie.reader | MessageReader using shared device session
2026-06-01 01:03:09 | INFO     | player.audio_player | VLC initialized (device hint: CABLE Input (VB-Audio Virtual Cable))
2026-06-01 01:03:09 | INFO     | bot.runtime | Poll loop started (interval=1.5s)
2026-06-01 01:03:09 | INFO     | bot.runtime | Playback loop started
2026-06-01 01:04:33 | INFO     | wakie.detector | New command from ✨️Siya..: /add faded
2026-06-01 01:04:33 | INFO     | bot.runtime | Command: /add from ✨️Siya.. args=['faded']
2026-06-01 01:04:33 | INFO     | commands.audit | RECV user=✨️Siya.. cmd=/add invoked=/add args=['faded'] fp=9b81e13b
2026-06-01 01:04:33 | INFO     | player.memory_queue | Queued: faded (#1) by ✨️Siya..
2026-06-01 01:04:33 | INFO     | commands.audit | user=✨️Siya.. cmd=/add invoked=/add args=[faded] status=SUCCESS ok=True ms=1 msg='Added: faded (#1 in queue)'
2026-06-01 01:04:33 | INFO     | player.audio_player | Now playing: faded.mp3
2026-06-01 01:04:33 | INFO     | bot.runtime | Auto-playing: faded
2026-06-01 01:04:34 | INFO     | wakie.chat | Chat sent: Added: faded (#1 in queue)
2026-06-01 01:04:47 | INFO     | wakie.detector | New command from Ila Katha Mafiliya....: /q
2026-06-01 01:04:47 | INFO     | bot.runtime | Command: /q from Ila Katha Mafiliya.... args=[]
2026-06-01 01:04:47 | INFO     | commands.audit | RECV user=Ila Katha Mafiliya.... cmd=/q invoked=/q args=[] fp=50093d7d
2026-06-01 01:04:47 | INFO     | commands.audit | user=Ila Katha Mafiliya.... cmd=/q invoked=/q args=[] status=SUCCESS ok=True ms=0 msg='Queue is empty.'
2026-06-01 01:04:48 | INFO     | wakie.chat | Chat sent: Queue is empty.
2026-06-01 01:05:14 | INFO     | wakie.detector | New command from unknown: /add faded
2026-06-01 01:05:14 | INFO     | wakie.detector | New command from Ila Katha Mafiliya....: /q
2026-06-01 01:05:14 | INFO     | bot.runtime | Command: /add from unknown args=['faded']
2026-06-01 01:05:14 | INFO     | commands.audit | RECV user=unknown cmd=/add invoked=/add args=['faded'] fp=460520fc
2026-06-01 01:05:14 | INFO     | player.memory_queue | Queued: faded (#1) by unknown
2026-06-01 01:05:14 | INFO     | commands.audit | user=unknown cmd=/add invoked=/add args=[faded] status=SUCCESS ok=True ms=1 msg='Added: faded (#1 in queue)'
2026-06-01 01:05:15 | INFO     | wakie.chat | Chat sent: Added: faded (#1 in queue)
2026-06-01 01:05:15 | INFO     | bot.runtime | Command: /q from Ila Katha Mafiliya.... args=[]
2026-06-01 01:05:15 | INFO     | commands.audit | RECV user=Ila Katha Mafiliya.... cmd=/q invoked=/q args=[] fp=a98e88ea
2026-06-01 01:05:15 | INFO     | commands.audit | user=Ila Katha Mafiliya.... cmd=/q invoked=/q args=[] status=SUCCESS ok=True ms=0 msg='1. faded'
2026-06-01 01:05:16 | INFO     | wakie.chat | Chat sent: 1. faded
2026-06-01 01:05:39 | INFO     | wakie.detector | New command from Ila Katha Mafiliya....: /add hips don't lie
2026-06-01 01:05:39 | INFO     | bot.runtime | Command: /add from Ila Katha Mafiliya.... args=['hips', "don't", 'lie']
2026-06-01 01:05:39 | INFO     | commands.audit | RECV user=Ila Katha Mafiliya.... cmd=/add invoked=/add args=['hips', "don't", 'lie'] fp=3a3fc8f2
2026-06-01 01:05:39 | INFO     | player.local_library | No local song for query: "hips don't lie"
2026-06-01 01:05:39 | WARNING  | commands.audit | user=Ila Katha Mafiliya.... cmd=/add invoked=/add args=[hips don't lie] status=ERROR ok=False ms=1 msg="Song not found: hips don't lie. Available: believer, faded"
2026-06-01 01:05:39 | INFO     | wakie.chat | Chat sent: Song not found: hips don't lie. Available: believer, faded
2026-06-01 01:05:59 | INFO     | wakie.detector | New command from Ila Katha Mafiliya....: /add hips don't lie
2026-06-01 01:05:59 | INFO     | bot.runtime | Command: /add from Ila Katha Mafiliya.... args=['hips', "don't", 'lie']
2026-06-01 01:05:59 | INFO     | commands.audit | RECV user=Ila Katha Mafiliya.... cmd=/add invoked=/add args=['hips', "don't", 'lie'] fp=8dc99aed
2026-06-01 01:05:59 | INFO     | player.local_library | No local song for query: "hips don't lie"
2026-06-01 01:05:59 | WARNING  | commands.audit | user=Ila Katha Mafiliya.... cmd=/add invoked=/add args=[hips don't lie] status=ERROR ok=False ms=1 msg="Song not found: hips don't lie. Available: believer, faded"
2026-06-01 01:06:00 | INFO     | wakie.chat | Chat sent: Song not found: hips don't lie. Available: believer, faded
2026-06-01 01:06:24 | INFO     | wakie.detector | New command from unknown: /add hips don't lie
2026-06-01 01:06:24 | INFO     | wakie.detector | New command from ✨️Siya..: /q
2026-06-01 01:06:24 | INFO     | bot.runtime | Command: /add from unknown args=['hips', "don't", 'lie']
2026-06-01 01:06:24 | INFO     | commands.audit | RECV user=unknown cmd=/add invoked=/add args=['hips', "don't", 'lie'] fp=cfd3fe58
2026-06-01 01:06:24 | INFO     | player.local_library | No local song for query: "hips don't lie"
2026-06-01 01:06:24 | WARNING  | commands.audit | user=unknown cmd=/add invoked=/add args=[hips don't lie] status=ERROR ok=False ms=1 msg="Song not found: hips don't lie. Available: believer, faded"
2026-06-01 01:06:25 | INFO     | wakie.chat | Chat sent: Song not found: hips don't lie. Available: believer, faded
2026-06-01 01:06:25 | INFO     | bot.runtime | Command: /q from ✨️Siya.. args=[]
2026-06-01 01:06:25 | INFO     | commands.audit | RECV user=✨️Siya.. cmd=/q invoked=/q args=[] fp=5745d18c
2026-06-01 01:06:25 | INFO     | commands.audit | user=✨️Siya.. cmd=/q invoked=/q args=[] status=SUCCESS ok=True ms=0 msg='1. faded'
2026-06-01 01:06:26 | INFO     | wakie.chat | Chat sent: 1. faded
2026-06-01 01:07:02 | INFO     | wakie.detector | New command from ✨️Siya..: /status
2026-06-01 01:07:02 | INFO     | bot.runtime | Command: /status from ✨️Siya.. args=[]
2026-06-01 01:07:02 | INFO     | commands.audit | RECV user=✨️Siya.. cmd=/status invoked=/status args=[] fp=c263b935
2026-06-01 01:07:02 | INFO     | commands.audit | user=✨️Siya.. cmd=/status invoked=/status args=[] status=SUCCESS ok=True ms=0 msg='Status: playing | Now: none | Queue: 1 | Vol: 80%'
2026-06-01 01:07:03 | INFO     | wakie.chat | Chat sent: Status: playing | Now: none | Queue: 1 | Vol: 80%
2026-06-01 01:07:20 | INFO     | wakie.detector | New command from unknown: /q
2026-06-01 01:07:20 | INFO     | bot.runtime | Command: /q from unknown args=[]
2026-06-01 01:07:20 | INFO     | commands.audit | RECV user=unknown cmd=/q invoked=/q args=[] fp=641692d3
2026-06-01 01:07:20 | INFO     | commands.audit | user=unknown cmd=/q invoked=/q args=[] status=SUCCESS ok=True ms=0 msg='1. faded'
2026-06-01 01:07:21 | INFO     | wakie.chat | Chat sent: 1. faded
2026-06-01 01:07:26 | INFO     | wakie.detector | New command from ✨️Siya..: /help
2026-06-01 01:07:26 | INFO     | bot.runtime | Command: /help from ✨️Siya.. args=[]
2026-06-01 01:07:26 | INFO     | commands.audit | RECV user=✨️Siya.. cmd=/help invoked=/help args=[] fp=a3bdf776
2026-06-01 01:07:26 | INFO     | commands.audit | user=✨️Siya.. cmd=/help invoked=/help args=[] status=SUCCESS ok=True ms=0 msg='Available commands:\n  /add <song|url> — Add a song to the queue. (aliases: /a, /'
2026-06-01 01:07:27 | INFO     | wakie.chat | Chat sent: Available commands:
  /add <song|url> — Add a song to the queue. (aliases: /a, /enqueue)
  /q — Show
2026-06-01 01:07:35 | INFO     | wakie.detector | New command from unknown: /help
2026-06-01 01:07:35 | INFO     | wakie.detector | New command from ....................: /are u missing anyone ..
2026-06-01 01:07:35 | INFO     | bot.runtime | Command: /help from unknown args=[]
2026-06-01 01:07:35 | INFO     | commands.audit | RECV user=unknown cmd=/help invoked=/help args=[] fp=ab303506
2026-06-01 01:07:35 | INFO     | commands.audit | user=unknown cmd=/help invoked=/help args=[] status=SUCCESS ok=True ms=0 msg='Available commands:\n  /add <song|url> — Add a song to the queue. (aliases: /a, /'
2026-06-01 01:07:35 | INFO     | wakie.chat | Chat sent: Available commands:
  /add <song|url> — Add a song to the queue. (aliases: /a, /enqueue)
  /q — Show
2026-06-01 01:07:35 | WARNING  | commands.parser | Unknown command '/are' (invoked as '/are') from ....................
2026-06-01 01:07:35 | INFO     | bot.runtime | Command: /are from .................... args=['u', 'missing', 'anyone', '..']
2026-06-01 01:07:35 | INFO     | commands.audit | RECV user=.................... cmd=/are invoked=/are args=['u', 'missing', 'anyone', '..'] fp=ccbaf389
2026-06-01 01:07:35 | WARNING  | commands.audit | user=.................... cmd=/are invoked=/are args=[u missing anyone ..] status=UNKNOWN ok=False ms=0 msg='Unknown command: /are. Try /help'
2026-06-01 01:07:36 | INFO     | wakie.chat | Chat sent: Unknown command: /are. Try /help
2026-06-01 01:07:38 | INFO     | wakie.detector | New command from unknown: /help
2026-06-01 01:07:38 | INFO     | bot.runtime | Command: /help from unknown args=[]
2026-06-01 01:07:38 | INFO     | commands.audit | RECV user=unknown cmd=/help invoked=/help args=[] fp=b9cdac29
2026-06-01 01:07:38 | INFO     | commands.audit | user=unknown cmd=/help invoked=/help args=[] status=SUCCESS ok=True ms=0 msg='Available commands:\n  /add <song|url> — Add a song to the queue. (aliases: /a, /'
2026-06-01 01:07:38 | INFO     | wakie.chat | Chat sent: Available commands:
  /add <song|url> — Add a song to the queue. (aliases: /a, /enqueue)
  /q — Show
2026-06-01 01:07:54 | INFO     | wakie.detector | New command from ....................: /are u missing anyone ..
2026-06-01 01:07:54 | WARNING  | commands.parser | Unknown command '/are' (invoked as '/are') from ....................
2026-06-01 01:07:54 | INFO     | bot.runtime | Command: /are from .................... args=['u', 'missing', 'anyone', '..']
